images,retweet_of,handle_original_tweet,handle_original_tweet_name,handle_original_tweet_user,type_of_tweet,time_elapsed,comments_on_tweet,retweets_on_tweet,quote_on_tweet,likes_on_tweet,text,link,profile,profile_handle,posts,likes,followers,following,user,username
[],,,,,tweet,"Nov 19, 2023 · 6:43 PM UTC",65,40,17,279,"I’m honoured to be selected as the Labour Party’s Parliamentary candidate for Leicester East. 

It’s time to use this auspicious moment to reset Leicester East, with a Labour MP who’ll deliver for everyone who lives here. 

Together, let’s get Britain’s future back.",https://nitter.poast.org/RajeshAgrawal/status/1726310275509317985#m,Rajesh Agrawal,RajeshAgrawal,6894,1524,10767,1067,Rajesh Agrawal,@RajeshAgrawal
['https://nitter.poast.org/pic/orig/media%2FGNukUREWQAAC1dM.jpg'],,,,,tweet,"May 16, 2024 · 8:35 PM UTC",1,1,,1,"Keir Starmer’s first six first steps for change. 
 
Fully funded and ready to go! 🇬🇧🌹",https://nitter.poast.org/RajeshAgrawal/status/1791205949463474354#m,Rajesh Agrawal,RajeshAgrawal,6894,1524,10767,1067,Rajesh Agrawal,@RajeshAgrawal
"['https://nitter.poast.org/pic/orig/media%2FGNtgtJRWQAA_LuW.jpg', 'https://nitter.poast.org/pic/orig/media%2FGNtgtJLXYAA8wZI.jpg']",,,,,tweet,"May 16, 2024 · 3:40 PM UTC",2,1,,5,Fantastic meeting with the  Deputy Irish Ambassador Orla McBreen over Gujarati Indian vegetarian meal in Leicester East. 🇬🇧🇮🇪@IrelandEmbGB,https://nitter.poast.org/RajeshAgrawal/status/1791131615810207842#m,Rajesh Agrawal,RajeshAgrawal,6894,1524,10767,1067,Rajesh Agrawal,@RajeshAgrawal
['https://nitter.poast.org/pic/orig/media%2FGNOFQ8uXoAAsaXI.jpg'],Rajesh Agrawal retweeted,,Samir Mayekar,@chicagosamir,retweet,"May 10, 2024 · 1:12 PM UTC",1,1,,2,Also sat down with my counterpart former London deputy mayor @RajeshAgrawal who is Labour’s candidate for MP in the Leicester East community. He’s done a great deal to support a strong UK/India economic connection and is a fellow entrepreneur.,https://nitter.poast.org/chicagosamir/status/1788920009374179703#m,Rajesh Agrawal,RajeshAgrawal,6894,1524,10767,1067,Samir Mayekar,@chicagosamir
['https://nitter.poast.org/pic/orig/media%2FGNR9AN9W8AEBdl1.jpg'],Rajesh Agrawal retweeted,,Leicestershire Cares #TogetherWeCan,@LeicsCares,retweet,"May 11, 2024 · 7:14 AM UTC",5,16,,86,#NorthernLights Bradgate park @visit_leicester,https://nitter.poast.org/LeicsCares/status/1789192398687404336#m,Rajesh Agrawal,RajeshAgrawal,6894,1524,10767,1067,Leicestershire Cares #TogetherWeCan,@LeicsCares
[],Rajesh Agrawal retweeted,,Shirley Rodrigues,@sabrodrigues61,retweet,"May 10, 2024 · 11:58 AM UTC",37,10,8,84,"Some news from me.Thanks to those I’ve worked with over the years esp ⁦@SadiqKhan⁩ & the teams at the GLA, TfL & all the campaigners.Great to see such a ringing endorsement of #ULEZ & #climateaction at the election. ⁦⁦@LDN_environment⁩ ⁦ london.gov.uk/media-centre/m…",https://nitter.poast.org/sabrodrigues61/status/1788901519753884157#m,Rajesh Agrawal,RajeshAgrawal,6894,1524,10767,1067,Shirley Rodrigues,@sabrodrigues61
[],Rajesh Agrawal retweeted,,Sadiq Khan,@SadiqKhan,retweet,"May 10, 2024 · 6:17 PM UTC",1,26,10,106,"Shirley has spearheaded initiatives to bring clean air to millions of Londoners, as well as helping London become a world-leader on climate resilience, rewilding and achieving Net Zero by 2030.

Thank you Shirley! Looking forward to working with you as part of @c40cities 🙏🏾💚",https://nitter.poast.org/SadiqKhan/status/1788996717653725287#m,Rajesh Agrawal,RajeshAgrawal,6894,1524,10767,1067,Sadiq Khan,@SadiqKhan
['https://nitter.poast.org/pic/orig/media%2FGNOlAklXEAAYd1F.jpg'],,,,,tweet,"May 10, 2024 · 3:31 PM UTC",,1,,6,"Great to catch up with my friend, entrepreneur & Former Deputy Mayor of the City of Chicago Samir Mayekar on his visit to London last week. 🇬🇧🇺🇸

@chicagosamir @polskycenter",https://nitter.poast.org/RajeshAgrawal/status/1788954916565680559#m,Rajesh Agrawal,RajeshAgrawal,6894,1524,10767,1067,Rajesh Agrawal,@RajeshAgrawal
[],Rajesh Agrawal retweeted,,Keir Starmer,@Keir_Starmer,retweet,"May 10, 2024 · 1:03 PM UTC",493,521,24,"2,025","Former Head of Counter Terror policing, Neil Basu knows what it takes to protect national security.

Now he’s backing Labour’s plan to protect our borders —with a new Border Security Command and tough counter terror powers to smash criminal smuggling gangs.telegraph.co.uk/politics/202…",https://nitter.poast.org/Keir_Starmer/status/1788917880970486257#m,Rajesh Agrawal,RajeshAgrawal,6894,1524,10767,1067,Keir Starmer,@Keir_Starmer
"['https://nitter.poast.org/pic/orig/media%2FGNKdX5-XEAEyHOc.jpg', 'https://nitter.poast.org/pic/orig/media%2FGNKdX6GWcAEo6jR.jpg', 'https://nitter.poast.org/pic/orig/media%2FGNKdX6BWoAACwo2.jpg', 'https://nitter.poast.org/pic/orig/media%2FGNKdX6GXEAArKWE.jpg']",,,,,tweet,"May 9, 2024 · 8:19 PM UTC",1,4,,14,"A pleasure to welcome legendary film actress @AzmiShabana to Leicester today at the Phoenix Cinema as a part of @ukasianfilmfest 

As one of the most diverse cities in the world, Leicester  is teeming with creative industries talent. 🇬🇧🇮🇳@SamirBhamra",https://nitter.poast.org/RajeshAgrawal/status/1788665042759504116#m,Rajesh Agrawal,RajeshAgrawal,6894,1524,10767,1067,Rajesh Agrawal,@RajeshAgrawal
